"CASRN"	"Chemical"	"Tc"	"Pc"	"Vc"	"omega"
"1007-26-7"	"1-phenyl-2,2-dimethylpropane"	667.65	27.01	532.5	0.351
"10071-60-0"	"1-chloro-2-pentene"	561.69	35.41	343.2	0.275
"10075-38-4"	"cis-1,3-dichloro-2-butene"	640	37.98	332	0.302
"10076-31-0"	"dimethyl-2,2-dimethylpropylamine"	574.03	29.76	454.5	0.344
"10086-50-7"	"2-(isobutyl-3-methylbutoxy)ethanol"	690	21	711.8	
"10086-64-3"	"1-fluoro-2-methylbutane"	494.45	33.22	327.5	0.298
"101-54-2"	"p-aminodiphenylamine"	867	31.9	596	0.694
"101-68-8"	"diphenylmethane-4,4'-diisocyanate"	802	22.8	712	0.95
"101-81-5"	"diphenylmethane"	760	27.1	563	0.482
"101-83-7"	"dicyclohexylamine"	737	25.2	619	0.513
"101-84-8"	"diphenyl ether"	766.8	30.8	503	0.439
"10101-63-0"	"lead iodide"	1865.07	153.79	302.5	0.487
"10102-03-1"	"nitrogen pentoxide"	515.51	64.33	182.56	0.266
"10102-06-4"	"uranyl nitrate"	510.39	29.49	377.05	
"10102-43-9"	"nitric oxide"	180.15	64.8	58	0.5829
"10102-44-0"	"nitrogen dioxide"	431.15	101.33	82.49	0.8511
"10108-64-2"	"cadmium chloride"	2019.79	166.55	302.5	0.511
"10112-91-1"	"mercury (I) chloride"	1115	206.73	117.49	
"1012-72-2"	"1,4-di-tert-butylbenzene"	708	23	732	0.502
"10124-73-9"	"2-chloro-1-hexene"	583.61	31.6	400.5	0.341
"101257-63-0"	"1-chloro-3-methylhexane"	621.08	26.93	476.5	0.418
"10130-91-3"	"2,2,6-trimethylcyclohexanol"	655	33.9	478.8	
"10136-52-4"	"9-heptadecenoic acid"	916	16	1000.7	
"10136-83-1"	"1-methyl-6-isopropylnaphthalene"	817.54	24.8	627.5	0.507
"10137-80-1"	"N-(2-ethylhexyl)aniline"	730	21	755.9	
"10137-96-9"	"ethylene glycol mono-2-methylpentyl ether"	636	26.4	525.9	
"10138-47-3"	"2-(1-ethylamyloxy)ethanol"	654	26.4	540.7	
"10138-87-1"	"2-(2-(1-ethylamyloxy)ethoxy)ethanol"	690	21	711.8	
"1014-60-4"	"1,3-di-tert-butylbenzene"	712.89	19.53	709.4	0.565
"10143-20-1"	"2,8-dimethyl-6-isobutylnonanol-4"	732.87	15.65	886.3	0.871
"10143-23-4"	"2,3-dimethyl-1-pentanol"	599.26	31.49	434.5	0.731
"10143-60-9"	"bis(2-ethylhexyl) ether"	707	14.4	910	0.934
"101654-30-2"	"3-chloro-2,3-dimethylhexane"	642.41	24.43	532.5	0.462
"10192-32-2"	"1-tetracosene"	814.11	8.26	1360.5	0.721
"10192-93-5"	"3,4-dimethyl-3,4-diphenylhexane"	810	16.7	1014	0.698
"101935-28-8"	"3,5-dimethyl-2,4-heptadiene"	616	32.8	400.7	
"101947-30-2"	"1,1 difluorodisulfane"	434.64	56.55	167.42	
"102-01-2"	"acetoacetanilide"	879	30.3	564	0.795
"102-25-0"	"1,3,5-triethylbenzene"	678	23	593	0.508
"102-27-2"	"N-ethyl-3-methylaniline"	705.58	32.84	482	0.413
"102-36-3"	"3,4-dichlorophenyl isocyanate"	733	33.3	456	0.335
"102-47-6"	"1,2-dichloro-4-(chloromethyl)benzene"	737	33.4	447	0.26
"102-53-4"	"N,N,N',N'-tetraethylmethanediamine"	741	28.5	597.4	
"102-69-2"	"tripropylamine"	577.5	22.3	576	0.699
"102-70-5"	"N,N-diallyl-2-propeN-1-amine"	592	24.6	521	0.499
"102-71-6"	"triethanolamine"	772.1	27.43	472	1.284
"102-76-1"	"glyceryl triacetate"	704	23.1	625	0.839
"102-81-8"	"2-dibutylaminoethanol"	770	27	601.4	
"102-82-9"	"tributylamine"	644	18	735	0.694
"102-86-3"	"trihexylamine"	673.74	11.83	1081.5	0.804
"102-87-4"	"tridodecylamine"	928.54	4.65	2089.5	
"102-88-5"	"trioctadecylamine"	1229.51	3.24	2922.6	
"10203-28-8"	"2-dodecanol"	704.8	20.1	713	0.631
"10203-30-2"	"3-dodecanol"	712.9	19.7	704.5	0.635
"10215-33-5"	"3-butoxy-1-propanol"	618	29.4	460.6	
"10222-95-4"	"1,2,4-trimethyl-5-isopropylbenzene"	697.15	23.61	602	0.437
"10233-13-3"	"isopropyl dodecanoate"	708	15.8	842.1	
"102370-18-3"	"1-ethyl-2-methylcyclohexanol"	655	33.9	478.8	
"10241-05-1"	"molybdenum (V) chloride"	850	47.2	369	
"102449-95-6"	"3-chloro-2,2,3-trimethylhexane"	661.88	22.27	588.5	0.505
"10250-47-2"	"3-methyl-3-pentyl acetate"	618	25.4	494	0.54
"10250-52-9"	"1,1-diiodopropane"	708.27	42.06	373.5	0.243
"10250-55-2"	"1,1-diiodo-2-methylpropane"	732.32	37.64	423.5	0.258
"10276-09-2"	"2,2-dimethyl-3-butenoic acid"	696	33	389.4	
"10288-13-8"	"1,2-dibromo-3-methylbutane"	659.19	41.95	427.5	0.448
"10289-68-6"	"3-tridecanol"	724.8	18.35	758.5	0.642
"10294-33-4"	"boron tribromide"	581	48.66	272	0.216
"10294-34-5"	"boron trichloride"	451.95	38.71	148.3	0.1505
"10294-48-1"	"chlorine heptoxide"	565.78	50.9	253.23	0.2
"10294-70-9"	"tin (II) iodide"	1635.64	132.69	268.52	
"10297-57-1"	"2-methyl-2-nonanol"	643.93	23.41	603.5	0.819
"103-08-2"	"5-ethyl-2-nonanol"	696.85	21.3	650.5	0.596
"103-09-3"	"2-ethylhexyl acetate"	642.4	21.7	600	0.599
"103-11-7"	"2-ethylhexyl acrylate"	655	20.7	664	0.673
"103-23-1"	"bis(2-ethylhexyl) adipate"	845	11.2	1260	1.06
"103-29-7"	"1,2-diphenylethane"	780	26.5	616	0.488
"103-30-0"	"trans-stilbene"	820	27.4	607	0.487
"103-44-6"	"2-ethylhexyl vinyl ether"	636	25	528.2	
"103-50-4"	"dibenzyl ether"	777	25.6	608	0.591
"103-65-1"	"propylbenzene"	638.35	32	440	0.344
"103-69-5"	"N-ethylaniline"	698.55	35.8	426	0.415
"103-70-8"	"formanilide"	787	41.1	382	0.545
"103-71-9"	"phenyl isocyanate"	653	40.6	370	0.412
"103-73-1"	"phenetole"	647.15	34.2	390	0.418
"103-76-4"	"1-piperazineethanol"	711	40.3	386	0.833
"103-84-4"	"acetanilide"	825	37.3	430	0.565
"103-90-2"	"N-(4-hydroxyphenyl)acetamide"	736	42.6	452	0.8
"10307-61-6"	"ethyl 2-methylbutanoate, (+)"	584	27.65	444.5	0.456
"10321-71-8"	"4-methyl-2-pentenoic acid"	696	33	389.4	
"10339-67-0"	"5-methyl-5-hepteN-2-one"	635	31.6	451.8	
"10340-23-5"	"cis-3-noneN-1-ol"	629.65	24.67	533.8	0.541
"10342-97-9"	"methyldiisopropylamine"	561.82	29.67	453.5	0.376
"10359-64-5"	"3-methyl-2-thiapentane"	585	34	370	0.266
"10377-51-2"	"lithium iodide"	2370	170	302.5	0.457
"10377-60-3"	"magnesium nitrate"	989	0	0	
"104-01-8"	"4-methoxybenzeneacetic acid"	768	39	470	0.898
"104-13-2"	"4-butylaniline"	690	29.85	525.5	0.69
"104-40-5"	"4-nonylphenol"	738.5	20.9	757	0.793
"104-43-8"	"4-dodecylphenol"	770	17	854.9	
"104-46-1"	"anethole"	723	29	482	0.485
"104-51-8"	"butylbenzene"	660.5	28.9	497	0.394
"104-57-4"	"benzyl formate"	698	35.9	397	0.42
"104-72-3"	"decylbenzene"	753	17.7	813	0.68
"104-75-6"	"2-ethylhexylamine"	601.45	26.52	517.6	0.5
"104-76-7"	"2-ethyl-1-hexanol"	640.6	28	485	0.556
"104-78-9"	"N,N-diethyl-1,3-propanediamine"	689	34.5	465.4	
"104-79-0"	"N,N-diethyl-N'-methylethylenediamine"	689	34.5	465.4	
