"CASRN"	"Chemical"	"Tc"	"Pc"	"Vc"	"omega"
"2216-81-1"	"heptyl propanoate"	659.6	19.3	635	0.508
"2216-87-7"	"3-undecanone"	678.01	20.46	657.5	0.653
"22160-12-9"	"2-methylhexanoic acid"	680	29.9	442	0.717
"22160-39-0"	"2-methylpentanoic acid, (±)"	661	33.8	389	0.652
"22160-40-3"	"3-methylpentanoic acid, (±)"	661	33.8	389	0.652
"22160-41-4"	"4-methylhexanoic acid, (±)"	680	29.9	442	0.717
"2217-07-4"	"N,N-dipropylaniline"	710	25	626.9	
"2217-17-6"	"2,4,5,7-tetramethyloctane"	629.32	18.29	683.5	0.462
"2217-45-0"	"2,3,4,5-tetramethylaniline"	690	29.85	525.5	0.69
"2219-73-0"	"2-methyl-4-ethylphenol"	727.31	37.87	365.5	0.495
"2219-78-5"	"3,4-dimethyl-6-ethylphenol"	733.03	33.18	421.5	0.54
"2219-79-6"	"2,4-dimethyl-6-ethylphenol"	711.89	33.18	421.5	0.54
"2219-82-1"	"2-tert-butyl-6-methylphenol"	751	29.8	546	0.569
"22227-75-4"	"3,3-dichloro-2-methyl-1-propene"	640	37.98	332	0.302
"22287-02-1"	"2-methyl-5-nonanone"	656.59	22.36	601.5	0.612
"2230-70-8"	"2,4,4-trimethylcyclohexanone"	690	29.5	474.6	
"22319-28-4"	"5-ethyl-4-methyl-4-hepteN-3-one"	675	25.6	584.2	
"2233-29-6"	"2,3,4-trimethylpyridine"	653	33.3	417	0.376
"22331-38-0"	"eicosylcyclopentane"	839.72	8.46	1376.5	0.729
"2234-20-0"	"1-ethenyl-2,4-dimethylbenzene"	693.48	29.7	468.5	0.375
"2234-75-5"	"1,2,4-trimethylcyclohexane, isomers"	621.31	27.4	470.6	0.29
"22349-03-7"	"nonadecylcyclohexane"	843.31	8.58	1368.5	0.729
"22381-86-8"	"2-undeceN-4-ol"	657	20	609.2	
"2239-78-3"	"propyl palmitate"	759	12.8	1031.6	
"22417-45-4"	"4-methyl-2-isobutyl-1-pentanol"	629.93	23.07	611.5	0.822
"22418-49-1"	"3-methoxy-2-methyl-1-propene"	505.58	35.97	313.5	0.323
"2243-27-8"	"nonanenitrile"	677.19	22.53	565.5	0.605
"2243-30-3"	"2,3,4,5,6-pentamethylaniline"	700	27.5	566.1	
"2243-98-3"	"1-undecyne"	650.99	22.12	613.5	0.47
"22438-39-7"	"2-thiadodecane"	717.91	19.63	705.5	0.592
"2244-07-7"	"undecanenitrile"	706.2	19.46	677.5	0.7
"2245-38-7"	"1,6,7-trimethylnaphthalene"	779.72	26.71	577.5	0.492
"22520-40-7"	"4,5-octanediol, (±)"	692.04	31	517	1.28
"22531-20-0"	"6-ethyl-1,2,3,4-tetrahydronaphthalene"	737.62	27.73	548.5	0.424
"22539-65-7"	"1,2-dimethyl-3-isopropylbenzene"	679.93	25.9	537.5	0.411
"2258-58-4"	"methyl 3-methyl-3-pentenoate"	592.33	28.3	428	0.432
"22663-64-5"	"3-methyl-1-nonanol"	638.09	23.16	608.5	0.883
"2270-59-9"	"5-bromo-2-methyl-2-pentene"	609.39	35.73	413.5	0.402
"2274-11-5"	"ethylene glycol diacrylate"	689	27	518	0.662
"22768-17-8"	"3-methyl-cis3-heptene"	572.89	26.87	464.5	0.351
"22768-18-9"	"3-methyl-trans-3-heptene"	572.89	26.87	464.5	0.351
"22768-19-0"	"3-methyl-cis2-heptene"	574.35	26.87	464.5	0.351
"22768-20-3"	"3-methyl-trans-2-heptene"	574.35	26.87	464.5	0.351
"2277-19-2"	"6-nonenal"	650	26	480.1	
"22808-06-6"	"2,2,5,5-tetramethyl-3-hexene"	616.98	21.85	581.3	0.457
"22900-08-9"	"cis-4-isopropylcyclohexanol"	655	33.9	478.8	
"22922-67-4"	"1-chloro-1-hexene"	583.61	31.6	400.5	0.341
"2294-72-6"	"5-undecyne"	660.54	22.29	613.5	0.46
"23009-73-6"	"1-chloro-2-methyl-trans-2-butene"	575.95	35.52	345.5	0.271
"23009-74-7"	"1-chloro-2-methyl-cis2-butene"	580.52	35.52	345.5	0.271
"23010-00-6"	"1-chloro-3-methyl-1-butene"	561.69	35.41	343.2	0.275
"23010-04-0"	"1,2-dichloro-2-methylbutane"	615.95	32.54	402.5	0.291
"23010-05-1"	"1,1-dichloro-2-methylbutane"	595.96	32.43	401.5	0.323
"23010-07-3"	"1,3-dichloro-2-methylbutane"	622.78	32.43	401.5	0.323
"23056-94-2"	"2-methyl-1-hexeN-3-yne"	545	36	326.7	
"2306-88-9"	"octyl octanoate"	721	15	891.4	
"23063-36-7"	"1-(dichloromethyl)-4-methylbenzene"	735	33	446	
"23068-94-2"	"3-bromo-cis2-pentene"	581.59	40.47	358.5	0.331
"23068-95-3"	"4-bromo-trans-2-pentene"	592.38	40.62	351.5	0.326
"23074-36-4"	"2-bromo-1-butene"	548.16	45.29	303.5	0.297
"2308-38-5"	"1,1-dimethylethyl butanoate"	574	24.7	503	0.481
"23097-98-5"	"5,5-dimethyl-3-heptyne"	621.49	26.96	501.5	0.373
"2311-14-0"	"1,1,1-tribromoethane"	698.32	71.33	322.5	0.407
"2311-59-3"	"isopropyl decanoate"	682	17.4	776	0.759
"2313-61-3"	"4-methyl-2-hexanol"	581.44	31.49	434.5	0.731
"2313-65-7"	"3-methyl-2-hexanol"	582.81	31.49	434.5	0.731
"2315-43-7"	"dimethyl-3-methylbutylamine"	559.73	29.41	459.5	0.406
"2315-68-6"	"propyl benzoate"	710	28.5	502	0.521
"23171-85-9"	"2,3,3-trimethyl-2-pentanol"	598.76	29.03	480.5	0.639
"2319-61-1"	"1,1-dicyclohexylethane"	762.12	21.59	685.5	0.429
"2320-30-1"	"3,5-dimethylcyclohexanone"	670	32.5	421.7	
"23361-67-3"	"2,2-dimethylpropyl formate"	575	30.2	393	0.348
"23361-69-5"	"2,2-dimethylpropyl butanoate"	607	22.7	500	0.822
"23377-53-9"	"rhenium (VII) oxypentafluoride"	523.28	0	0	
"23378-11-2"	"1-chloro-2-methyl-1-butene"	561.69	35.41	343.2	0.275
"23418-37-3"	"4-methyl-4-octanol"	608.26	25.74	547.5	0.78
"23418-38-4"	"4-methyl-4-nonanol"	637.32	23.41	603.5	0.819
"23425-81-2"	"1-fluoro-3-methyl-2-butene"	482.63	35.18	314.5	0.271
"23433-04-7"	"1,3-heptanediol"	675.49	34.68	459.5	1.245
"23433-05-8"	"1,3-octanediol"	686.88	31.07	515.5	1.272
"23433-07-0"	"1,3-nonanediol"	698.7	27.99	571.5	1.293
"23436-19-3"	"1-isobutoxy-2-propanol"	618	29.4	460.6	
"2345-27-9"	"2-tetradecanone"	712.65	16.01	825.5	0.759
"2345-28-0"	"2-pentadecanone"	723.72	14.85	881.5	0.787
"2346-81-8"	"3-chlorohexane"	583.1	30.09	414.5	0.343
"2349-07-7"	"hexyl isobutanoate"	637	22	600	0.579
"2350-19-8"	"2-chloro-6-methylheptane"	642.41	24.43	532.5	0.462
"2350-24-5"	"2-ethylhexyl-6-chloride"	642.41	24.43	532.5	0.462
"2351-97-5"	"ethyl 4-methyl-2-pentenoate"	616	26	470.5	
"23511-78-6"	"1,1,3-tribromopropane"	718	60	383.5	0.52
"23578-35-0"	"2,5-dimethyl-2,5-hexanediamine"	715	31.5	525.3	
"2358-38-5"	"1,1-difluorobutane"	463.3	32.6	288	0.367
"23580-52-1"	"3-ethyl-2,6-dimethylpyridine"	673	30	469.4	
"2363-71-5"	"heneicosanoic acid"	834	10.3	1219	
"23646-57-3"	"erythro-4,4-dimethyl-2,3-pentanediol"	710.3	35.81	442.5	1.107
"23646-58-4"	"threo-4,4-dimethyl-2,3-pentanediol"	710.3	35.81	442.5	1.107
"2366-36-1"	"1,1,1-trichloro-2-fluoroethane"	565	39.9	294	0.25
"2366-52-1"	"1-fluorobutane"	460.7	35.3	278	0.309
"2370-12-9"	"2,2-dimethyl-1-pentanol"	587.65	31.6	435.5	0.695
"2370-13-0"	"2,2-dimethyl-1-hexanol"	605.29	28.44	491.5	0.738
"2370-14-1"	"2,2-dimethyl-1-octanol"	636.2	23.41	603.5	0.819
"23708-56-7"	"6-undecanol"	696.85	21.3	650.5	0.596
"2371-19-9"	"3-methyl-2-heptanone"	624	26.4	469	0.528
"23764-31-0"	"N-propyl-1,3-propanediamine"	663	38.1	408.4	0.65
"2384-70-5"	"2-decyne"	650.86	24.56	557.5	0.412
"2384-73-8"	"1-hepteN-3-yne"	545	36	326.7	
"2384-75-0"	"1-chloro-1-heptene"	613.52	28.44	456.5	0.385
"2384-85-2"	"3-decyne"	643.32	24.56	557.5	0.412
"2384-86-3"	"4-decyne"	642.22	24.46	557.5	0.417
"2384-90-9"	"1,2-heptadiene"	556	34.5	347.8	
"2388-14-9"	"p-isopropenylisopropylbenzene"	723	25.5	586.3	
"2396-68-1"	"4-tert-butylthiophenol"	755	32	524.7	
"2396-78-3"	"methyl 3-hexenoate"	592.33	28.3	428	0.432
"2396-83-0"	"ethyl 3-hexenoate"	616	26	470.5	
"2398-09-6"	"1,cis-3-dimethylcyclobutane"	514.27	35.77	319.5	0.231
"2398-10-9"	"1,trans-3-dimethylcyclobutane"	509.64	35.77	319.5	0.231
"2398-65-4"	"(1-octyldodecyl)benzene"	851.65	8.74	1383.5	0.759
"2398-66-5"	"(1-methylnonadecyl)benzene"	851.65	8.74	1383.5	0.759
"2398-68-7"	"eicosylbenzene"	851.65	8.74	1383.5	0.759
"2400-01-3"	"(1-hexylheptyl)benzene"	783	15	1060	0.844
"2400-02-4"	"(1-ethyloctadecyl)benzene"	851.65	8.74	1383.5	0.759
"2400-03-5"	"(1-propylheptadecyl)benzene"	851.65	8.74	1383.5	0.759
"2400-04-6"	"(1-butylhexadecyl)benzene"	851.65	8.74	1383.5	0.759
"2400-66-0"	"eicosanal"	784.21	10.65	1172.5	0.856
"2402-06-4"	"1,trans-2-dimethylcyclopropane"	471.88	40.06	281.5	0.215
"2404-52-6"	"phosphorus (V) sulfide trifluoride"	346	38.2	194.38	
"2406-52-2"	"stannane"	358.52	53.42	152.88	0.184
"2408-20-0"	"allyl propanoate"	569	32.5	376	0.434
"2408-37-9"	"2,2,6-trimethylcyclohexanone"	690	29.5	474.6	
"24089-00-7"	"3-methyl-1-octeN-3-ol"	629	27	447.3	
"2409-55-4"	"2-tert-butyl-4-methylphenol"	751	29.8	546	0.569
"2411-36-1"	"triheptylamine"	744.72	9.79	1249.5	0.804
"2415-72-7"	"propylcyclopropane"	520.15	36.12	328.5	0.286
"24157-81-1"	"2,6-diisopropylnaphthalene"	808.25	21.65	743.3	0.605
"2416-94-6"	"2,3,6-trimethylphenol"	739.74	37.18	365.5	0.494
"2423-01-0"	"1-butylcyclopentene"	626.53	28.72	466.5	0.359
"2424-98-8"	"vinyl 2-methylpropanoate"	569	32.5	376	0.434
"2425-54-9"	"1-chlorotetradecane"	738.54	14.8	868.5	0.694
"2425-74-3"	"tert-butylformamide"	692	35.6	383	0.449
"2425-77-6"	"2-hexyl-1-decanol"	757.6	15	920	0.756
"24264-08-2"	"2-ethyl-1-buteN-1-one"	595	39.6	342.8	
"24270-66-4"	"1,1,2,3,3-pentafluoropropane"	441.38	32.03	320.5	0.37
"24270-67-5"	"1,1,3-trifluoropropane"	401.66	37.5	251.5	0.315
"24298-08-6"	"2-iodo-trans-2-butene"	608.34	40.73	328.5	0.217
"24298-09-7"	"2-iodo-cis2-butene"	608.34	40.73	328.5	0.217
"2430-22-0"	"7-methyl-1-octanol"	635.39	25.46	552.5	0.846
"2430-73-1"	"1,4-nonanediol"	725.37	27.99	571.5	1.293
"2430-94-6"	"cis-5-dodecenoic acid"	816	20	723.2	
"24306-18-1"	"9-octyl-8-heptadecene"	826.16	7.82	1416.5	
"24308-61-0"	"2-iodo-1-butene"	624.36	40.21	329.5	0.227
"2431-24-5"	"4-chloro-3-heptene"	613.52	28.44	456.5	0.385
"24319-07-1"	"2-iodo-3-methylpentane"	597.44	36.55	378.5	0.705
"24319-08-2"	"3-iodo-3-methylpentane"	597.98	36.69	379.5	0.668
"24319-09-3"	"2-chloro-3-methylpentane"	563.86	30.36	408.5	0.314
"2432-63-5"	"dipropyl maleate"	691	22	614	0.782
"2432-74-8"	"6-aminohexanenitrile"	697	30.5	441	0.653
"2433-96-7"	"tricosanoic acid"	858	9.5	1330	
"24332-22-7"	"4-hepteN-2-one"	615	35.6	391.3	
"24346-53-0"	"1-iodo-3-methylpentane"	618.9	36.2	384.5	0.739
"24347-58-8"	"(2R,3R)-(-)-2,3-butanediol"	630.99	50.32	289.9	1.127
"24356-00-1"	"3-chloro-1-pentene"	556.39	35.22	339.5	0.277
"2436-84-2"	"2,6-dimethyl-1,3-heptadiene"	616	32.8	400.7	
"2436-90-0"	"3,7-dimethyl-1,6-octadiene"	646	30	454.1	
"2436-92-2"	"3,4-dimethylquinoline"	765.83	33.53	514.5	0.497
"2436-93-3"	"6,8-dimethylquinoline"	775.1	33.63	514.5	0.497
"2437-25-4"	"dodecanenitrile"	720.09	17.43	733.5	0.72
"2437-56-1"	"1-tridecene"	675	17.7	756	0.606
"2437-95-8"	"(±)-a-pinene"	647	27.8	505.3	0.341
"2438-20-2"	"2-methylbutyl propanoate"	609	25.5	497	0.572
"2439-54-5"	"methyloctylamine"	630.6	23.7	565	0.586
"2439-55-6"	"methyloctadecylamine"	764.5	10.8	1115	0.898
"24395-10-6"	"6-hepteN-2-ol"	601	35	341	
"2442-10-6"	"1-octeN-3-yl acetate"	650	23.5	540.2	
"2442-49-1"	"methyl tetracosanoate"	830	9.6	1355.1	
"24422-20-6"	"germane, trichlorofluoro"	473.51	37.62	274.16	
"24422-21-7"	"germane, dichlorodifluoro"	413.69	37.97	237.32	
"2443-03-0"	"1-methyl-trans-3-propylcyclopentane"	614.2	26.71	479.5	0.334
"2443-04-1"	"1-methyl-cis3-propylcyclopentane"	614.2	26.71	479.5	0.334
"2443-89-2"	"1,1-diiodo-2,2-dimethylpropane"	759.04	34	474.5	0.242
"2443-91-6"	"1,1-dibromo-2,2-dimethylpropane"	665.55	41.52	433.5	0.48
"24443-15-0"	"1,3-dibromo-3-methylbutane"	661.07	42.11	428.5	0.414
"24448-19-9"	"3-ethyl-2-hexanol"	595.91	28.35	490.5	0.773
"2445-76-3"	"hexyl propanoate"	640	21.2	577	0.488
"2451-00-5"	"1-methyl-7-ethylnaphthalene"	767.96	27.13	577.5	0.493
"2452-99-5"	"1,2-dimethylcyclopentane"	556.47	34.37	364.1	0.271
"2453-00-1"	"1,3-dimethylcyclopentane"	556.47	34.37	364.1	0.271
"24544-04-5"	"2,6-diisopropylaniline"	710	25	626.9	
"24549-06-2"	"2-ethyl-6-methylaniline"	705.58	32.84	482	0.413
"24556-56-7"	"2-iodo-3,3-dimethylbutane"	608.43	37.04	373.5	0.635
"2456-27-1"	"dinonyl ether"	736	13	1020	1.002
"2456-28-2"	"didecyl ether"	730.8	10.05	1173.5	0.795
"24567-53-1"	"phosphonium chloride"	322.3	73.7	149.42	
"24580-48-1"	"2-methyl-1-propylcyclohexanol"	665	30.9	529.8	
"24580-52-7"	"3-methyl-1-propylcyclohexanol"	665	30.9	529.8	
"24597-12-4"	"gallium (II) chloride"	1216.16	0	0	
"24608-84-2"	"5-methyl-cis2-heptene"	569.31	26.96	457.5	0.347
"24608-85-3"	"5-methyl-trans-2-heptene"	569.31	26.96	457.5	0.347
"24612-75-7"	"1,1,3,4-tetramethylcyclohexane"	667	25.7	534	0.274
"2462-94-4"	"11-eicosenoic acid"	966	14	1194.7	
"24621-61-2"	"(S)-(+)-1,3-butanediol"	630.99	50.32	289.9	1.127
"2463-53-8"	"2-nonenal"	650	26	480.1	
"2467-10-9"	"1,1,1,5-tetrachloropentane"	725	32	490.7	
"2469-45-6"	"dodecyl sulfide"	876.33	8.9	1414	
"2470-68-0"	"diheptylamine"	706.4	16.5	842	0.761
"2473-01-0"	"1-chlorononane"	661.88	22.27	588.5	0.505
"2473-03-2"	"1-chloroundecane"	696.43	18.72	700.5	0.588
"24734-68-7"	"benzenepropanethiol"	740	35	471.9	
"24765-57-9"	"2,2-dibutyl-1,3-propanediol"	728.85	23.03	685	1.323
"24768-42-1"	"5-thiadecane"	681.56	23.45	593.5	0.508
"24768-43-2"	"4-thiadecane"	681.56	23.45	593.5	0.508
"24768-44-3"	"3-thiadecane"	681.56	23.45	593.5	0.508
"24768-46-5"	"4-thiaundecane"	701.03	21.41	649.5	0.551
"24772-63-2"	"1,8-diiodooctane"	799.06	24.46	653.5	0.465
"24774-58-1"	"2,5-dibromohexane"	684.21	36.82	489.5	0.526
"24800-44-0"	"tripropylene glycol"	677	25.4	596	1.257
"2487-90-3"	"trimethoxysilane"	525	28.9	408	0.322
"24892-49-7"	"2,4-dimethyl-2,4-pentanediol"	621.29	35.94	443.5	1.069
"24893-35-4"	"2,3-dimethyl-1,3-butanediol"	636.35	39.91	392.5	1.105
"24910-63-2"	"3,4-dimethylpent-2-ene"	537.61	29.69	403	0.294
"2492-22-0"	"cis-2,6-dimethyl-2,6-octadiene"	646	30	457.7	
"24948-66-1"	"1-deceN-4-yne"	615	27	486	
"24949-35-7"	"1,3-bis(methylsulfanyl)propane"	657.5	33.1	418.8	0.358
"24965-84-2"	"2-methylcyclohexanone, (±)"	650	35.5	377.6	
"24965-87-5"	"(S)-3-methylcyclohexanone"	650	35.5	377.6	
"2497-18-9"	"trans-2-hexenyl acetate"	616	26	470.5	
"2497-21-4"	"4-hexeN-3-one"	595	39.6	342.8	
"2499-58-3"	"heptyl acrylate"	650	23.5	540.2	
"2499-59-4"	"N-octyl acrylate"	672	22.5	578.4	
"2499-95-8"	"hexyl acrylate"	628	24.5	504.8	
"25013-15-4"	"methylstyrene"	658.75	33.7	417	0.334
"25044-01-3"	"2-methyl-1-penteN-3-one"	595	39.6	342.8	
"2508-29-4"	"5-amino-1-pentanol"	626.41	37.9	368	0.841
"25103-58-6"	"tert-dodecylmercaptan"	691	18.6	771	0.61
"25118-28-9"	"1,4-dibromohexane"	684.21	36.82	489.5	0.526
"25148-87-2"	"1,3-dichloro-2-methyl-2-butene"	660	35	376	
"25154-52-3"	"nonylphenol"	770	20.7	757	0.88
"25155-15-1"	"cymene"	664.65	28.97	487.2	0.378
"25167-70-8"	"2,4,4-trimethylpentene"	564.74	26.94	458.8	0.328
"2517-43-3"	"3-methoxy-1-butanol"	582	36.7	350.1	0.783
"25186-47-4"	"3,5-dichlorotoluene"	710	36.2	404	0.343
"2523-55-9"	"trans-4-methylcyclohexylamine"	622	34.9	393	0.386
"2523-56-0"	"cis-4-methylcyclohexylamine"	622	34.9	393	0.386
"2524-02-9"	"phosphorus (V) sulfide chloride difluoride"	439.2	41.4	230.05	
"25265-71-8"	"dipropylene glycol"	654	35.8	415	1.198
"25276-70-4"	"1-pentadecanethiol"	764.77	14.86	929.5	0.737
"2532-58-3"	"cis-1,3-dimethylcyclopentane"	551	34.45	360	0.274
"2532-64-1"	"1,cis-2,trans-3,trans-4-tetramethylcyclopentane"	602.95	24.98	477.5	0.284
"2532-65-2"	"1,cis-2,cis-3,cis-4-tetramethylcyclopentane"	613.22	24.98	477.5	0.284
"2532-67-4"	"1,trans-2,cis-3,trans-4-tetramethylcyclopentane"	587.41	24.98	477.5	0.284
"2532-68-5"	"1,cis-2,trans-3,cis-4-tetramethylcyclopentane"	592.68	24.98	477.5	0.284
"2532-69-6"	"1,cis-2,cis-3,trans-4-tetramethylcyclopentane"	602.95	24.98	477.5	0.284
"25321-09-9"	"diisopropylbenzene"	697.15	23.61	602	0.437
"25323-30-2"	"dichloroethylene"	505.67	51.9	224	0.267
"25339-09-7"	"isocetyl stearate"	890	6.5	2067.4	
"25339-17-7"	"isodecanol"	644	22.8	591	0.913
"25339-56-4"	"3-heptene (mixed isomers)"	537.61	29.69	403	0.294
"25340-17-4"	"diethylbenzene"	664.65	28.97	487.2	0.378
"25340-18-5"	"triethylbenzene  (mixed isomers)"	697.15	23.61	602	0.437
"25346-31-0"	"3-bromo-3-methylpentane"	595.92	34.36	422.5	0.341
"25346-32-1"	"2-chloro-4-methylpentane"	572.99	30.36	408.5	0.314
"25346-33-2"	"1-bromo-2-methylpentane"	612.15	33.92	427.5	0.404
"25354-97-6"	"2-hexyldecanoic acid"	776	15.1	917	1.083
"25354-98-7"	"2-methyl-1-pentadecanol"	757.6	15	920	0.756
"25360-10-5"	"tert-nonyl mercaptan, isomers"	659	23.4	580	0.451
"25415-67-2"	"ethyl 4-methylpentanoate"	602	26.1	494	0.395
"25415-70-7"	"isobutyl 4-methylpentanoate"	637	22	600	0.579
"25419-06-1"	"methylpentylamine"	561	31.6	400	0.473
"25419-36-7"	"1,2,3,4-tetrahydro-2,8-dimethylnaphthalene"	737.62	27.73	548.5	0.424
"25419-37-8"	"1,2,3,4-tetrahydro-2,5-dimethylnaphthalene"	737.62	27.73	548.5	0.424
"25430-48-2"	"1,4-tetradecanediol"	790.69	17.8	851.5	1.293
"2547-26-4"	"4a-methyl-cisdecahydronaphthalene"	711.69	26.38	532.5	0.331
"2547-27-5"	"4a-methyl-trans-decahydronaphthalene"	697.11	26.38	532.5	0.331
"2548-87-0"	"trans-2-octenal"	630	30	405	
"25498-49-1"	"(2-(2-methoxy methyl ethoxy)methyl ethoxy)propanol"	657	21.8	652	1.125
"2550-21-2"	"3-methyl-2-hexanone"	593.86	30.22	427.5	0.451
"2550-22-3"	"3-methyl-5-hexeN-2-one"	615	35.6	391.3	
"2551-62-4"	"sulfur hexafluoride"	318.69	37.6	198.52	0.2151
"2552-91-2"	"(1S)-(+)-neomenthyl acetate"	694	21.5	619.8	
"25551-13-7"	"trimethyl benzene"	643.63	31.3	445.6	0.346
"25570-03-0"	"(S)-(+)-2-methylbutyronitrile"	586.97	33.76	333.1	0.386
"25586-43-0"	"monochloronaphthalene"	785	34	434	0.383
"25607-16-3"	"1-methyl-2-ethylnaphthalene"	775.02	27.13	577.5	0.493
"25620-58-0"	"2,2,4(2,4,4)-trimethyl-1,6-hexanediamine"	741	28.5	597.4	
"25639-42-3"	"methylcyclohexanol"	635	37.9	414	0.685
"2565-39-1"	"6-hepteN-3-one"	615	35.6	391.3	
"25659-22-7"	"4-hexeN-2-one"	595	39.6	342.8	
"2568-33-4"	"3-methyl-1,3-butanediol"	632.01	45.96	327.5	1.103
"2570-26-5"	"pentadecylamine"	746.5	13.9	895	0.787
"25735-67-5"	"4-sec-amylphenol"	751	29.8	546	0.569
"25756-29-0"	"N-methyl-N-(cyclohexylmethyl) amine"	642	31	448.7	
"25790-55-0"	"4-chloro-1,2-butadiene"	525	42.6	273	0.193
"2586-89-2"	"3-heptyne"	574.59	33.41	389.5	0.279
"25961-87-9"	"2-(2-(heptyloxy)ethoxy)ethanol"	690	21	711.8	
"260-94-6"	"acridine"	905	36.4	543	0.438
"26118-38-7"	"3,3-dimethyl-2-hexanone"	624	26.4	469	0.528
"2612-27-3"	"2-isopropyl-1,3-propanediol"	652.71	39.36	397.5	1.179
"2612-28-4"	"2-propyl-1,3-propanediol"	620.04	38.97	403.5	1.214
"2612-29-5"	"2-ethyl-1,3-propanediol"	630.78	43.4	356.5	1.142
"2613-61-8"	"2,4,6-trimethylheptane"	590.3	21.48	560	0.411
"2613-65-2"	"1-methyl-trans-3-ethylcyclopentane"	586.99	29.57	423.5	0.29
"2613-66-3"	"1-methyl-cis3-ethylcyclopentane"	586.99	29.57	423.5	0.29
"2613-69-6"	"1,cis-2,cis-3-trimethylcyclopentane"	591.57	28.54	422.5	0.265
"2613-72-1"	"1,cis-2,cis-4-trimethylcyclopentane"	582.61	28.54	422.5	0.265
"26143-08-8"	"trans-1-iodo-1-nonene"	708.62	23.75	607.5	0.463
"26153-88-8"	"dimethylpentylamine"	584.2	28.1	455	0.298
"26153-91-3"	"methyl-2,2-dimethylpropylamine"	564.84	32.21	395.5	0.369
"26158-99-6"	"3-thiaoctane"	638.37	28.51	481.5	0.42
"26171-83-5"	"1,2-butanediol, (±)"	630.99	50.32	289.9	1.127
"26184-62-3"	"(S)-(+)-2-pentanol"	562.34	38.9	326.9	0.577
"26185-81-9"	"1-octatriacontyne"	1003.17	4.49	2125.5	
"26185-82-0"	"1-nonatriacontyne"	1021.18	4.32	2181.5	
"26185-83-1"	"1-tetratriacontyne"	936.74	5.32	1901.5	
"26186-00-5"	"1-heptadecyne"	736.21	13.7	949.5	0.69
"26186-01-6"	"1-nonadecyne"	758.94	11.94	1061.5	0.735
"26186-02-7"	"1-tridecyne"	684.11	18.61	725.5	0.553
"26186-03-8"	"1-heptatriacontyne"	985.15	4.68	2069.5	
"26190-82-9"	"2,5-dimethylquinoline"	775.1	33.63	514.5	0.497
"26198-63-0"	"1,2-dichloropropane, (±)"	568.62	41.84	290.9	0.249
"2623-50-9"	"5,8-dimethylquinoline"	775.1	33.63	514.5	0.497
"26249-12-7"	"dibromobenzene"	761	46.6	372	0.293
"2625-29-8"	"1-nitro-2,2-dimethylbutane"	638.11	32.17	442.5	0.458
"2625-35-6"	"2-nitro-3-methylbutane"	614	32	385	0.441
"26266-68-2"	"2-ethyl hexenal"	630	30	405	
"2628-17-3"	"4-vinylphenol"	736	45.2	374	0.509
"26288-16-4"	"1,1,1-trifluorodecane"	600.1	19	632	0.533
"26303-90-2"	"4-decenoic acid"	776	23	603.6	
"26311-33-1"	"ethyl 2-methyl-2-hexenoate"	628	24.5	504.8	
"26356-06-9"	"2-bromo-3,3-dimethylbutane"	609.3	34.68	416.5	0.311
"2639-63-6"	"hexyl butanoate"	657.2	19	635	0.474
"2639-64-7"	"nonyl butanoate"	706.7	15	809	0.57
"26401-20-7"	"tert-hexyl alcohol"	581.8	34.61	377.4	0.582
"26401-74-1"	"2-sec-amylphenol"	751	29.8	546	0.569
"26423-60-9"	"3-chloro-cis2-pentene"	553.1	35.52	345.5	0.271
"26423-61-0"	"3-chloro-trans-2-pentene"	553.1	35.52	345.5	0.271
"26423-63-2"	"4-chloro-cis2-pentene"	564.66	35.64	338.5	0.267
"26437-45-6"	"2-nonyl-[ 1,2,3,4-tetrahydronaphthalene]"	809.34	15.13	940.5	0.702
"26438-24-4"	"2-heptyl-[1,2,3,4-tetrahydronaphthalene]"	793.72	17.67	828.5	0.633
"26438-26-6"	"1-nonylnaphthalene"	849	16.8	1000	0.617
"26438-27-7"	"1-decylnaphthalene"	859	15.8	1070	0.642
"26438-28-8"	"1-dodecylnaphthalene"	854.65	13.04	1081.5	0.807
"26444-18-8"	"a,2-dimethylstyrene"	675.92	29.74	479.9	0.378
"26472-00-4"	"methylcyclopentadiene dimer"	675	26.4	541	0.423
"26489-01-0"	"citronellol, (±)"	656.59	22.36	601.5	0.612
"26490-07-3"	"2-isobutylnaphthalene"	818.49	25.18	627.5	0.508
"26519-91-5"	"methylcyclopentadiene"	541	44.3	279	0.238
"26533-31-3"	"2-methyl-4-nonanol"	634.39	23.34	602.5	0.852
"26533-33-5"	"2-methyl-3-nonanol"	633.8	23.34	602.5	0.852
"26533-34-6"	"2-methyl-3-octanol"	609.21	25.66	546.5	0.814
"26533-35-7"	"3-methyl-4-octanol"	603.88	25.66	546.5	0.814
"26533-36-8"	"2-nonadecanol"	782.8	12.2	1098	0.872
"26549-24-6"	"2-hexanol, (R)"	581.8	34.61	377.4	0.582
"26549-25-7"	"3-heptanol, (S)"	587.2	31.51	434.1	0.709
"2655-27-8"	"N-pentylaniline"	700	27.5	566.1	
"26550-55-0"	"(S)-(+)-1-methoxy-2-propanol"	569	42.4	297.3	0.759
"26638-19-7"	"dichloropropane"	568.62	41.84	290.9	0.249
"26718-82-1"	"heneicosylcyclohexane"	864.14	7.69	1480.5	
"26730-14-3"	"7-methyltridecane"	682.75	15.53	815.6	0.61
